sxj0051z;4184948.2670640806;221199.2022998873;4790905.11394561
sxj3051z;4176608.291212359;215680.1080139801;4798532.958083078
sxj4051z;4206194.937006898;207602.37701323442;4773008.18761803
sxj2051z;4186758.88220143;203284.31071249396;4790204.166752974
sxj5051z;4187893.424995961;189594.39971175976;4789740.712787916
sxj6051z;4194125.8380904957;178033.0791110266;4784779.7073228685
sxj3052z;4155283.940385031;97046.08901027963;4820166.866757814
sxj4052z;4182699.730714057;217374.1958702542;4794263.469842871
sxj9052z;4183486.4959206856;193223.78939740732;4793789.880286319
sxj8052z;4149058.3862916417;184090.72728545405;4824179.158229765
sxj7052z;4169576.5242625983;145364.04877349548;4807691.85997322
sxj6052z;4161830.140369238;123087.88600067049;4814443.719516671
