sxj1051z_FEGA;4208046.5403;228666.9111;4771794.188
sxj1051z_MELN;4208046.53850031;228666.88650006;4771794.16050128
sxj0051z;4195019.1913003;218423.33830006;4783652.08200128
sxj3051z;4217167.51810032;207943.73450005;4764692.18250127
sxj4051z;4190293.14430031;201223.79540005;4788453.03260128
sxj2051z;4183989.36810031;185132.01160005;4794554.44960129
sxj5051z;4182783.46220031;171168.81820005;4796158.31510129
sxj6051z;4136503.24550031;87779.95530006;4838110.34550129
sxj6051z_BOGU;4136503.25079981;87779.9151;4838110.4437
sxj6051z_MOMO;4136503.17819981;87779.9378;4838110.3756
sxj1052z_FEGA;4208047.4263;228666.9629;4771795.2019
sxj1052z_MELN;4208047.44619965;228666.94049991;4771795.22040007
sxj3052z;4217168.42309964;207943.78219991;4764693.22320006
sxj4052z;4190294.05119965;201223.84249992;4788454.09350006
sxj9052z;4218365.92689966;164910.28639991;4765338.38760006
sxj8052z;4218953.75469965;146061.37179991;4765461.83950006
sxj7052z;4206878.74979965;133252.0120999;4776327.71400006
sxj6052z;4136504.14449967;87780.01389989;4838111.41880006
sxj6052z_BOGU;4136503.62249981;87779.9233;4838110.8878
sxj6052z_MOMO;4136503.54629981;87779.947;4838110.8068
